feature,coefficient,odds_ratio
attempted,5.231408534116345,187.0560929391487
lead_source_grp_Single Referral > 7 days- 24th Jul,3.5136751520034615,33.571421417848576
lead_source_grp_AI Connected but not Connected by TC- Set 1,2.4484734194177054,11.570669670293702
tag_filled,2.4428263056430777,11.505512929135545
lead_source_grp_PreOb-Ob Fees Paid 29th Jul (set 1),1.0215771323979872,2.7775719100346237
lead_source_grp_Khanna AI,0.9998686998325389,2.717924941029964
lead_source_grp_Khanna- 2W 26th Jul,0.8763024588950338,2.4020017660405046
upload_dow_3,0.5135229732709421,1.6711683177086376
upload_to_first_attempt_p50_hrs,0.4440964512092028,1.559080853603787
upload_dow_0,0.34030738737972077,1.405379520103546
lead_source_grp_OLX - Ashwin - 2W - 17 Jul,0.26940457586517186,1.3091846984482158
attempt_per_lead,-0.04293068947793834,0.9579777857064966
lead_source_grp_Other,-0.0629544421035414,0.9389862509531017
upload_dow_2,-0.33437746015635333,0.7157835514584941
interested,-0.4824419973979961,0.6172741678838752
lead_source_grp_PreOb-Ob Fees Paid 29th Jul (set 2),-0.48634572656158975,0.614869193950351
lead_source_grp_AI Connected but not Connected by TC- Set 2,-0.5359950715153045,0.5850867971759265
connected,-1.7751524734880464,0.1694576097367482
upload_dow_1,-1.8600517960130594,0.15566456735521955
upload_dow_5,-2.4184861021538997,0.08905633765510663
lead_source_grp_2W3W - 3WEV - Khanna - 3W - 17 Jul,-2.5028418542298243,0.08185205617436997
lead_source_grp_2W3W - 3WAHD - Khanna - 3W - 17 Jul,-2.7674598041382317,0.06282138084484844
lead_source_grp_2W3W - 3WCNG - Khanna - 3W - 17 Jul,-3.0724409715280863,0.046307980324224396
lead_source_grp_AI Connected band Not Interested,-3.4603485660079514,0.03141880858079901
