upload_date,lead_source,candidate_phone,Uploaded Leads,Attempted,Connected,Attempt per Lead,tag_filled,Interested,OB_after_upload,OB_after_first_attempt,FT_after_upload,FT_after_first_attempt,upload_to_first_attempt_P50 (hrs),Attempted %,Attempt → Connected %,Connect → Interested %,Interested → FT_after_first_attempt %,Attempted → FT_after_upload %
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,91148e89d497914604c9c248ccd2aca212fac665bdc396cd2443ccc206d216e9,1,1,1,1.0,1,0,0,0,0,0,112.0,100,100.0,0.0,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,4aa4e7a4f4a3b9fa608c4c1729be6a8accc31f58b3d8b12bc02ad6c505f3f801,1,1,0,1.0,0,0,0,0,0,0,112.0,100,0.0,,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,0e97e34090259c1ce6cef1fd1c491fcfc469ba9d2d1ce784d5205fc523955493,1,1,0,1.0,0,0,0,0,0,0,89.0,100,0.0,,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,cdc003718802cffa769a478bcc0fe31aa20ac3ffe97a7c0f3c6738a2105fa08b,1,1,0,1.0,0,0,0,0,0,0,106.0,100,0.0,,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,d70833a770ab63e1992254dad148b100bbbadbe0e946736e9feb33252b728819,1,1,0,1.0,0,0,0,0,0,0,90.0,100,0.0,,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,1d9d97944c72a161dc845aef65f36c83039a23881ec3bd102288fa2f571a8e68,1,1,1,1.0,1,0,0,0,0,0,108.0,100,100.0,0.0,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,e813ab89059a38332bd912820ae1622829c295f3c7cbe8a0499b994d1014cd7d,1,1,1,1.0,1,0,0,0,0,0,84.0,100,100.0,0.0,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,643f68b96fa4fb591142d7bcbad6e045d9ceaed52cf703ffa1ef5b6684d93196,1,1,0,1.0,0,0,0,0,0,0,110.0,100,0.0,,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,4ff90c095485968a336cd4e52902d4c0b6b56ed5da9fd28500a8525e07cfd455,1,1,1,1.0,1,0,0,0,0,0,88.0,100,100.0,0.0,,0.0
2026-07-18,2W3W - 3WAHD - Khanna - 3W - 17 Jul,3686d8ba819b963abb8198bc7f13bd663af40875d8ecf093ffe547a04b1b3d46,1,1,0,1.0,0,0,0,0,0,0,89.0,100,0.0,,,0.0
